,tweet_id,favorites,retweet_count
1351,760190180481531904,5927,1890
1352,760252756032651264,4104,908
1353,760290219849637889,27882,12065
1354,760539183865880579,7880,3803
1355,760641137271070720,5156,1350
1356,760656994973933572,6876,2001
1357,760893934457552897,3963,1023
1358,761004547850530816,11774,3643
1359,761227390836215808,5516,1632
1360,761292947749015552,4640,1149
1361,761334018830917632,5404,1521
1362,761371037149827077,0,18921
1363,761599872357261312,4286,1236
1364,761672994376806400,51504,30538
1365,761745352076779520,4430,897
1366,761750502866649088,0,4132
1367,761976711479193600,5612,2111
1368,762035686371364864,33226,16355
1369,762316489655476224,4993,1180
1370,762464539388485633,10720,4394
1371,762471784394268675,11714,6780
1372,762699858130116608,12652,3803
1373,763103485927849985,7662,2395
1374,763183847194451968,5606,1551
1375,763837565564780549,13100,4379
1376,764259802650378240,6278,1587
1377,764857477905154048,6696,1860
1378,765222098633691136,12090,3550
1379,765371061932261376,7376,2267
1380,765395769549590528,27569,3576
1381,765669560888528897,5411,1278
1382,765719909049503744,7530,2247
1383,766008592277377025,3907,521
1384,766069199026450432,4437,897
1385,766078092750233600,0,2740
1386,766313316352462849,7065,1975
1387,766423258543644672,6267,1675
1388,766693177336135680,4189,833
1389,766793450729734144,5289,1419
1390,767122157629476866,10551,2996
1391,767191397493538821,12780,3981
1392,767500508068192258,7798,2455
1393,767754930266464257,16705,5665
1394,767884188863397888,4963,1463
1395,768193404517830656,11355,3741
1396,768473857036525572,14209,3616
1397,768596291618299904,5239,1344
1398,768609597686943744,4289,1266
1399,768855141948723200,4377,937
1400,768970937022709760,15033,6869
1401,769212283578875904,5636,1805
1402,769695466921623552,6663,1745
1403,769940425801170949,32715,10107
1404,770069151037685760,7895,2413
1405,770093767776997377,0,3213
1406,770293558247038976,6499,1568
1407,770414278348247044,6570,2189
1408,770655142660169732,7631,1845
1409,770772759874076672,5405,1493
1410,770787852854652928,5153,1278
1411,771004394259247104,0,229
1412,771014301343748096,7157,1738
1413,771102124360998913,6516,1512
1414,771136648247640064,9545,3078
1415,771171053431250945,0,7952
1416,771380798096281600,10955,5371
1417,771500966810099713,8624,2761
1418,771770456517009408,12527,3582
1419,772102971039580160,4181,983
1420,772114945936949249,2831,499
1421,772117678702071809,3929,782
1422,772152991789019136,3958,1180
1423,772193107915964416,6310,1461
1424,772581559778025472,6762,1783
1425,772615324260794368,0,3550
1426,772826264096874500,8373,2468
1427,772877495989305348,8940,4086
1428,773191612633579521,10427,4355
1429,773247561583001600,9844,3417
1430,773308824254029826,24293,7876
1431,773547596996571136,23065,6517
1432,773670353721753600,5557,1375
1433,773704687002451968,6902,1711
1434,773922284943896577,6682,1836
1435,773985732834758656,11191,4085
1436,774314403806253056,22762,5869
1437,774639387460112384,7017,1822
1438,774757898236878852,8947,1876
1439,775085132600442880,16258,4989
1440,775364825476165632,7753,3144
1441,775729183532220416,13511,4847
1442,775733305207554048,14478,4221
1443,775842724423557120,12249,2821
1444,775898661951791106,0,17359
1445,776088319444877312,1919,160
1446,776113305656188928,12275,4597
1447,776201521193218049,10041,2664
1448,776218204058357768,31338,16872
1449,776477788987613185,9242,2938
1450,776813020089548800,5097,1288
1451,776819012571455488,0,14501
1452,777189768882946048,14949,4552
1453,777621514455814149,9158,2629
1454,777641927919427584,0,4475
1455,777684233540206592,11750,3105
1456,777885040357281792,6647,1722
1457,778027034220126208,6854,1710
1458,778039087836069888,8872,2783
1459,778286810187399168,10875,3481
1460,778383385161035776,6116,1164
1461,778396591732486144,0,12953
1462,778408200802557953,14293,4585
1463,778624900596654080,4851,1065
1464,778650543019483137,6034,1590
1465,778748913645780993,7215,1393
1466,778990705243029504,20928,7647
1467,779056095788752897,15487,4793
1468,779123168116150273,12370,3873
1469,779377524342161408,9233,3293
1470,779834332596887552,19843,7503
1471,780192070812196864,9099,2372
1472,780459368902959104,5537,1140
1473,780476555013349377,0,121
1474,780496263422808064,0,3916
1475,780543529827336192,6599,1834
1476,780601303617732608,12675,3532
1477,780800785462489090,5760,1380
1478,780858289093574656,7534,2124
1479,780931614150983680,22655,7767
1480,781163403222056960,10253,2899
1481,781251288990355457,8835,2216
1482,781524693396357120,21749,5899
1483,781661882474196992,10943,2864
1484,781955203444699136,11651,3558
1485,782021823840026624,0,6581
1486,782305867769217024,17463,5917
1487,782598640137187329,8160,1993
1488,782722598790725632,18106,5715
1489,782747134529531904,7836,1485
1490,782969140009107456,25290,7794
1491,783085703974514689,8540,2348
1492,783334639985389568,30612,12411
1493,783347506784731136,0,5938
1494,783391753726550016,17695,5834
1495,783466772167098368,8866,2378
1496,783695101801398276,10949,3410
1497,783821107061198850,7713,2078
1498,783839966405230592,31494,11452
1499,784431430411685888,5978,1367
1500,784517518371221505,9401,2693
1501,784826020293709826,10623,3435
1502,785170936622350336,12654,5144
1503,785264754247995392,7628,1736
1504,785533386513321988,9565,2122
1505,785639753186217984,8209,2363
1506,785872687017132033,7023,1934
1507,785927819176054784,11949,3368
1508,786036967502913536,0,7503
1509,786233965241827333,16056,5069
1510,786363235746385920,11450,3722
1511,786595970293370880,9895,3308
1512,786664955043049472,11182,2716
1513,786709082849828864,19139,6492
1514,786963064373534720,27964,8476
1515,787322443945877504,8193,1856
1516,787397959788929025,11407,3015
1517,787717603741622272,10751,2961
1518,787810552592695296,9131,3253
1519,788039637453406209,6466,1408
1520,788070120937619456,0,3643
1521,788150585577050112,6453,1381
1522,788178268662984705,7604,2250
1523,788412144018661376,16360,5628
1524,788765914992902144,28816,10964
1525,788908386943430656,28822,13212
1526,789137962068021249,10210,2981
1527,789268448748703744,9592,2766
1528,789530877013393408,12385,3600
1529,789599242079838210,7116,2048
1530,789628658055020548,7902,1894
1531,789986466051088384,9722,2464
1532,790277117346975746,13212,3382
1533,790337589677002753,8229,1986
1534,790581949425475584,21756,7651
1535,790698755171364864,8636,2041
1536,790723298204217344,0,2464
1537,790946055508652032,17510,4998
1538,790987426131050500,10385,2271
1539,791026214425268224,0,4379
1540,791312159183634433,9249,2700
1541,791406955684368384,13806,4393
1542,791672322847637504,12361,3328
1543,792050063153438720,7542,1923
1544,792394556390137856,14143,4567
1545,792773781206999040,7733,1788
1546,792883833364439040,11901,4548
1547,792913359805018113,15100,4247
1548,793120401413079041,13364,4166
1549,793135492858580992,6800,2649
1550,793150605191548928,6511,1811
1551,793165685325201412,9919,2964
1552,793180763617361921,7310,2126
1553,793195938047070209,16087,6004
1554,793210959003287553,9410,2989
1555,793226087023144960,10362,3058
1556,793241302385262592,11071,3497
1557,793256262322548741,21064,8903
1558,793271401113350145,9132,2535
1559,793286476301799424,25911,9798
1560,793500921481273345,11262,2536
1561,793601777308463104,8401,1735
1562,793614319594401792,0,3328
1563,793845145112371200,9711,1992
1564,793962221541933056,17702,5201
1565,794205286408003585,9698,3534
1566,794332329137291264,10082,2833
1567,794355576146903043,0,10964
1568,794926597468000259,10818,2457
1569,794983741416415232,0,3600
1570,795076730285391872,17078,5793
1571,795400264262053889,10624,3072
1572,795464331001561088,52391,25357
1573,796031486298386433,11400,3943
1574,796080075804475393,8917,2474
1575,796116448414461957,9602,2573
1576,796149749086875649,34010,15258
1577,796177847564038144,0,15258
1578,796387464403357696,11583,4443
1579,796484825502875648,7987,1879
1580,796759840936919040,12478,3257
1581,796865951799083009,8089,2025
1582,797236660651966464,21012,7074
1583,797545162159308800,15298,5173
1584,797971864723324932,12262,3341
1585,798209839306514432,10932,2730
1586,798340744599797760,0,3582
1587,798628517273620480,0,2097
1588,798644042770751489,0,1979
1589,798665375516884993,0,4158
1590,798673117451325440,0,5920
1591,798694562394996736,0,5283
1592,798697898615730177,0,6920
1593,798925684722855936,7848,1515
1594,798933969379225600,13809,4775
1595,799063482566066176,8504,2635
1596,799297110730567681,10423,2948
1597,799422933579902976,8481,2045
1598,799757965289017345,8834,2311
1599,799774291445383169,0,4989
1600,800018252395122689,29880,14041
1601,800141422401830912,16119,2717
1602,800388270626521089,11738,2995
1603,800443802682937345,0,4597
1604,800459316964663297,9988,2304
1605,800513324630806528,13829,3205
1606,800751577355128832,11076,2963
1607,801115127852503040,8501,2235
1608,801167903437357056,25806,6326
1609,801285448605831168,6369,884
1610,801538201127157760,8625,2200
1611,801958328846974976,8134,1818
1612,802239329049477120,9537,2790
1613,802265048156610565,6946,1448
1614,802323869084381190,17054,6210
1615,802572683846291456,9416,2676
1616,802624713319034886,0,3105
1617,802952499103731712,9501,2138
1618,803276597545603072,10550,2623
1619,803380650405482500,8156,1979
1620,803638050916102144,11534,4386
1621,803692223237865472,0,7910
1622,803773340896923648,10565,2942
1623,804026241225523202,46882,17239
1624,804413760345620481,0,3435
1625,804738756058218496,14418,4086
1626,805207613751304193,8199,1816
1627,805487436403003392,9246,2695
1628,805520635690676224,6049,1754
1629,805826884734976000,6912,1953
1630,805932879469572096,8709,2040
1631,805958939288408065,0,5715
1632,806219024703037440,6766,1271
